Name	Description	sample12101	sample12104	sample12105	sample12109	sample12110	sample12112	sample12115	sample12119	sample12120	sample12121	sample12127	sample12100	sample12102	sample12103	sample12107	sample12108	sample12111	sample12113
RP11-283C24.2	ENSG00000264662	10.36924943	21.36853458	28.91388745	43.5913254	34.17713792	23.10622822	31.53393073	9.900841982	34.29631983	18.500625	60.20375755	92.98228668	75.40810125	99.33098756	238.7831902	181.1781868	58.53399912	136.26569
RP11-782C8.4	ENSG00000237291	47.13295195	29.24115258	29.94652629	28.46780434	25.35723136	23.10622822	30.40771891	42.30359756	32.44246471	21.02343749	30.10187877	38.38718257	46.77211344	50.74517843	76.46428	64.57836361	40.97379938	77.44596771
SLC19A3	ENSG00000135917	1034.096966	1175.269402	2083.865174	857.5926059	1400.160167	1439.325466	1327.803726	1590.435253	1338.483401	1303.453125	1500.578657	1002.331989	2175.380541	5432.973146	4838.713298	4335.719579	2468.462363	3269.396232
PTPN4	ENSG00000088179	169.678627	175.4469155	136.3083266	168.1379694	195.1404327	143.4511669	188.0773725	161.1137013	150.1622652	148.005	219.743715	188.5237189	296.8597404	236.4509378	260.2468477	363.2532953	203.1965969	285.2756532
PTGER3	ENSG00000050628	873.8449292	1065.05275	981.0068956	1033.737145	901.8354458	930.0256859	1489.978227	988.2840451	648.8492941	689.5687498	1082.162542	1067.163676	1496.70763	1655.156564	1574.895872	1740.028131	1415.686579	1226.39121
STON1	ENSG00000243244	256.4032586	182.1948738	445.067339	265.9960468	228.2150823	330.2265117	407.6886758	185.415768	153.8699755	120.2540625	246.082859	250.7962595	581.3105527	824.8790706	485.6152519	902.3032471	385.4881942	563.6890055
TASP1	ENSG00000089123	143.2841739	163.0756586	113.5902721	157.4625428	197.3454093	121.3076982	144.1551119	171.9146199	207.6317741	164.82375	226.5166378	138.1938573	128.8619452	64.78107884	107.3182877	84.31064138	102.8525984	100.9738566
AC009492.1	ENSG00000233143	40.53433868	21.36853458	33.0444428	23.13009103	42.99704448	41.3986589	24.77665986	19.80168396	21.31933395	38.68312499	27.0916909	33.26889156	83.9988976	143.5980581	69.75688702	57.40298987	78.60279881	64.70169454
TNF	ENSG00000232810	6.598613273	8.997277718	11.35902721	13.34428329	5.5124416	6.739316564	6.75727087	6.300535807	9.269275631	5.045624999	9.783110601	2.559145505	4.772664636	0	2.682957193	1.793843434	3.344799949	0.980328705
AVPR1A	ENSG00000166148	86.72463159	61.85628431	71.25207979	83.62417526	94.81399553	87.61111534	93.47558037	90.90773093	80.64269799	65.59312498	79.76997875	93.83533518	112.6348854	100.4106722	193.1729179	112.1152146	139.6453979	170.5771947
PDGFD	ENSG00000170962	138.5708787	97.84539519	88.80694003	155.683305	364.923634	155.004281	253.3976576	130.5110989	93.61968387	288.4415624	217.4860741	585.1912721	761.717276	633.774888	543.2988316	632.3298103	199.015597	146.0689771
TUBA4A	ENSG00000127824	51.84624715	78.72618003	41.3055535	57.82522757	60.63685761	76.05800123	63.06786145	57.6048988	61.17721916	67.27499998	27.0916909	58.00729811	35.31771831	17.27495436	38.9028793	25.11380807	23.41359965	26.46887504
ANKRD20A5P	ENSG00000186481	19.79583982	15.74523601	21.68541559	12.4546644	13.22985984	11.55311411	12.38832993	19.80168396	22.24626151	11.773125	24.83404999	17.06097003	38.18131709	128.482473	138.1722954	90.5890934	38.46519942	85.28859735
ZC2HC1B	ENSG00000118491	6.598613273	3.373979144	4.13055535	7.116951086	4.40995328	2.888278528	1.126211812	1.800153088	2.780782689	6.727499998	5.267828785	12.79572752	3.818131709	30.23117013	17.43922175	8.072295451	18.39639972	15.68525928
RP11-712B9.2	ENSG00000245552	294.1096202	406.002157	294.3020687	353.1786976	358.308704	299.4182074	269.164623	284.4241878	224.3164703	363.2849999	230.2793726	385.5779227	492.5389905	521.4876847	434.6390653	446.667015	521.7887921	406.8364126
IDSP1	ENSG00000176289	42.41965676	26.99183315	43.37083118	22.24047214	39.68957952	40.43589939	33.78635435	32.40275558	47.27330572	43.72874999	31.60697271	17.06097003	13.36346098	19.43432365	24.14661474	17.93843434	27.59459958	19.6065741
AAK1	ENSG00000115977	358.2104348	209.1867069	166.2548528	255.3206202	377.0510055	311.934081	238.7569041	216.0183705	283.6398343	248.9174999	206.1978696	261.0328415	548.8564332	339.0209793	853.1803874	948.9431764	439.8411934	715.6399547
RP13-395E19.3	ENSG00000215304	47.13295195	87.72345775	103.2638838	71.16951086	128.9911335	142.4884074	72.07755595	73.80627659	103.8158871	92.50312498	112.1294984	86.15789866	104.0440891	191.1041826	226.7098828	232.3027246	183.1277972	199.9870558
AXIN2	ENSG00000168646	275.2564394	133.8345061	61.95833025	198.3850115	226.0101056	179.0732687	155.41723	111.6094914	158.5046133	283.3959374	143.7364711	118.5737417	119.3166159	31.31085477	61.70801544	59.19683331	84.45619872	95.0918844
RBP1	ENSG00000114115	30.16508925	5.623298574	27.88124861	16.01313994	17.63981312	36.58486135	18.01938899	10.80091853	15.75776857	27.75093749	19.5662212	23.03230954	44.86304758	32.39053942	72.43984421	81.61987623	40.97379938	70.58366677
PYGM	ENSG00000068976	124.4309932	49.48502745	123.9166605	104.0854096	152.1433882	176.1849902	69.82513232	55.80474572	67.6657121	125.2996875	136.9635484	98.95362619	214.7699086	355.216249	492.3226449	458.3269973	169.7485974	417.6200284
MMD	ENSG00000108960	1528.992961	1195.513277	1308.353407	1562.170763	1306.448659	1813.838915	1503.492769	1363.615964	1125.290062	1135.265625	1427.581601	1674.534209	1738.204461	2936.742241	3250.402639	4175.170592	1499.306577	2825.307328
FGF1	ENSG00000113578	237.5500778	320.5280187	78.48055165	274.8922357	126.7861568	60.65384908	334.4849081	216.9184471	317.0092266	198.46125	341.6563241	168.0505548	107.8622208	33.47022407	69.75688702	87.00140653	71.07699893	67.64268065
