Supplementary Table 4a. Cushing's effect on gene expressions after controlling for BMI,,,,,,,,,,,,,,,,
,Row.names,baseMean,log2FoldChange.BMIxDisease,lfcSE.BMIxDisease,stat.BMIxDisease,pvalue.BMIxDisease,padj.BMIxDisease,log2FC_Obese_vs_notObese,lfcSE_Obese_vs_notObese,pvalue_Obese_vs_notObese,padj_Obese_vs_notObese,log2FC_Cushing_vs_Con,lfcSE_Cushing_vs_Con,pvalue_Cushing_vs_Con,padj_Cushing_vs_Con,external_gene_id
87,ENSG00000005238,211.9594621,-0.289358208,0.189577868,-1.526329053,0.126927937,0.531817797,0.006426648,0.106102065,0.951701321,NA,0.366365526,0.146235069,0.012234093,0.097137185,FAM214B
88,ENSG00000005243,297.6452014,0.090407593,0.278832144,0.324236626,0.745758895,0.942196383,-0.142556482,0.158202228,0.367533624,0.709091188,0.094924369,0.217319636,0.66225923,0.844087197,COPZ2
89,ENSG00000005249,3473.545592,-0.386807164,0.256736187,-1.506632811,0.131904802,0.541480085,-0.234505821,0.14544213,0.106882505,0.46103437,0.43496201,0.198944155,0.028789841,0.163933831,PRKAR2B
90,ENSG00000005302,181.9520868,-0.088973584,0.216103253,-0.411717929,0.680546182,0.917898181,0.17116753,0.119211743,0.151051359,NA,0.052833249,0.169342797,0.755048168,0.891973274,MSL3
91,ENSG00000005339,546.3869235,-0.006406421,0.188156643,-0.034048337,0.972838606,0.994483847,0.029132433,0.104230025,0.779860098,0.918036051,-0.05269345,0.145658116,0.717530513,0.87399936,CREBBP
92,ENSG00000005379,58.20995452,0.367675192,0.571474338,0.643380057,0.519977521,0.848922601,-0.196009534,0.359389089,0.58548088,NA,-1.493220355,0.490870499,0.002350241,0.034950939,BZRAP1
93,ENSG00000005381,0.666351575,0.05293276,0.571846375,0.092564651,0.926249428,NA,0.256549896,1.302376823,0.843838556,NA,0.482787109,1.385461632,0.727489791,NA,MPO
94,ENSG00000005421,0.61527894,0.44935283,0.599585805,0.749438739,0.453592809,NA,-0.698750935,1.230773526,0.570216176,NA,0.515175647,1.303482459,0.692672999,NA,PON1
95,ENSG00000005436,118.6251162,-0.037497525,0.24649542,-0.152122605,0.879090236,0.971942719,-0.034719524,0.137749553,0.801003823,NA,0.130527158,0.192515166,0.497765517,0.746132428,GCFC2
96,ENSG00000005448,22.76864708,0.324157558,0.433683793,0.7474514,0.454791129,0.816858807,0.190386588,0.235642102,0.419120462,NA,-0.526020486,0.365312366,0.149890109,0.404415388,WDR54
97,ENSG00000005469,67.04055584,0.495338137,0.315119336,1.571906514,0.115972234,0.513047028,-0.172614148,0.176533841,0.328175049,NA,-0.208564936,0.25152127,0.406983375,0.675650424,CROT
98,ENSG00000005471,8.821042887,0.020177394,0.588126741,0.0343079,0.972631625,NA,0.052573553,0.36093707,0.884190983,NA,-0.403967912,0.517459579,0.434993491,0.69632404,ABCB4
99,ENSG00000005483,452.998904,0.085137339,0.229328637,0.371245999,0.710454315,0.927927476,0.169240245,0.127803157,0.185428047,0.548535477,-0.153137953,0.178634366,0.391295467,0.662378847,KMT2E
100,ENSG00000005486,3.225448893,-0.119856363,0.693825813,-0.172747051,0.862850258,NA,0.122655111,0.553461201,0.824613876,NA,-0.0954013,0.712781847,0.893526237,NA,RHBDD2
101,ENSG00000005513,7.285648956,1.782882666,0.698146806,2.553736048,0.010657401,NA,-0.282969828,0.533787227,0.596030624,NA,-1.760979923,0.740864714,0.017457633,0.121892957,SOX8
102,ENSG00000005700,283.3578046,-0.370025948,0.197223469,-1.876176043,0.060631111,0.404718642,0.159971258,0.110786852,0.14875156,0.503837678,0.456895833,0.152594191,0.002751755,0.038622949,IBTK
103,ENSG00000005801,79.3043908,0.193246364,0.253760606,0.761530195,0.446340451,0.81196683,-0.053130384,0.137805602,0.699833009,NA,-0.157846629,0.201294393,0.432947346,0.694618262,ZNF195
104,ENSG00000005810,1024.134227,-0.484930433,0.254231426,-1.907437017,0.05646402,0.394462045,0.311549954,0.144170759,0.030696976,0.286778306,0.66582938,0.197218685,0.00073522,0.016588938,MYCBP2
105,ENSG00000005812,483.1369805,-0.214790932,0.197756543,-1.086138184,0.277417861,0.711031971,0.009043086,0.110608364,0.93483939,0.980842391,0.274527757,0.152650027,0.072111622,0.272896116,FBXL3
106,ENSG00000005844,83.31288467,0.654926598,0.501878669,1.304950059,0.191909854,0.62253598,0.238947451,0.304925488,0.433259767,NA,-0.766788468,0.41828964,0.066779978,0.261580295,ITGAL
107,ENSG00000005882,390.5388255,0.309876719,0.410927206,0.754091515,0.450794272,0.814803409,-0.75017881,0.242685549,0.001993791,0.098385905,-0.469959641,0.327410278,0.151177558,0.406204696,PDK2
108,ENSG00000005884,256.4749316,1.300777239,0.366543934,3.548762147,0.000387047,0.034235872,-0.415967186,0.212733149,0.050542093,NA,-0.47026766,0.29126066,0.106398686,0.339307976,ITGA3
109,ENSG00000005889,252.3306231,-0.228243746,0.339237307,-0.672814402,0.501065374,0.841006739,0.133108334,0.195885756,0.496808292,NA,0.296235119,0.266945004,0.267118233,0.543108468,ZFX
110,ENSG00000005893,639.9228404,0.205568415,0.164352453,1.250777899,0.211015521,0.641849079,0.193741147,0.091024778,0.033300285,0.293851076,0.026520244,0.127849808,0.835671868,0.930137764,LAMP2
111,ENSG00000005955,30.10382814,-0.159977762,0.37678231,-0.424589365,0.671136047,0.915004597,-0.125861811,0.206349789,0.541898919,NA,-0.201969053,0.298729013,0.498980627,0.746813288,GGNBP2
112,ENSG00000005961,10.62245939,0.157353719,0.620346534,0.253654547,0.799762452,NA,-0.329045327,0.427107091,0.441059844,NA,0.035718449,0.550579376,0.948274087,0.979685668,ITGA2B
113,ENSG00000005981,1.949463737,0.160841933,0.695187408,0.231364854,0.817031367,NA,-0.092864855,0.741201939,0.900294327,NA,-0.60325407,0.921862569,0.512863074,NA,ASB4
